Datetime,Temperature (°C),Atmospheric Pressure (kPa),Precipitation mm/h,Solar Radiation (W/m2),Vapor Pressure (kPa),Humidity (%),Wind Direction (°),Wind Speed (m/s),Hour,Day,Month
2020-12-26 04:00:00+00:00,22.616666666666664,100.46333333333332,0.0,613.8333333333334,1.875,68.53333333333333,110.66666666666667,4.128333333333333,4,26,12
2020-12-26 05:00:00+00:00,22.71666666666667,100.39666666666666,0.0,541.0,1.84,66.7,114.51666666666667,3.766666666666667,5,26,12
2020-12-26 06:00:00+00:00,22.0,100.36333333333333,0.0,193.83333333333334,1.8433333333333335,69.68333333333334,111.46666666666665,3.3216666666666668,6,26,12
2020-12-26 07:00:00+00:00,21.599999999999998,100.34499999999998,0.0,28.833333333333332,1.8150000000000002,70.48333333333333,114.01666666666667,3.0283333333333338,7,26,12
2020-12-26 08:00:00+00:00,21.25,100.40166666666666,0.034,1.6666666666666667,1.8283333333333334,72.41666666666667,111.85000000000001,2.715,8,26,12
2020-12-26 09:00:00+00:00,19.650000000000002,100.47333333333334,2.431,0.0,1.9533333333333331,85.63333333333333,107.46666666666665,1.9349999999999998,9,26,12
2020-12-26 10:00:00+00:00,18.866666666666664,100.44166666666666,0.8330000000000001,0.0,1.9733333333333334,90.58333333333333,95.76666666666667,1.9616666666666667,10,26,12
2020-12-26 11:00:00+00:00,18.95,100.43,0.0,0.0,1.9516666666666664,89.18333333333334,54.11666666666667,1.7116666666666667,11,26,12
2020-12-26 12:00:00+00:00,18.983333333333334,100.36333333333333,0.0,0.0,1.9583333333333333,89.26666666666667,53.68333333333333,1.6049999999999998,12,26,12
2020-12-26 13:00:00+00:00,18.666666666666668,100.265,0.0,0.0,1.9633333333333332,91.35000000000001,34.46666666666667,1.5283333333333333,13,26,12
2020-12-26 14:00:00+00:00,18.583333333333332,100.20833333333333,0.0,0.0,1.96,91.68333333333334,74.13333333333334,0.9216666666666667,14,26,12
2020-12-26 15:00:00+00:00,18.716666666666665,100.18333333333334,0.0,0.0,1.9799999999999998,91.78333333333335,103.75,0.8233333333333333,15,26,12
2020-12-26 16:00:00+00:00,17.866666666666664,100.14666666666666,0.0,0.0,1.9383333333333332,94.81666666666666,223.0666666666667,0.5183333333333333,16,26,12
2020-12-26 17:00:00+00:00,18.066666666666666,100.12166666666667,0.068,0.0,1.9766666666666666,95.5,201.03333333333333,0.715,17,26,12
2020-12-26 18:00:00+00:00,17.666666666666668,100.13166666666666,0.017,1.0,1.9583333333333333,96.86666666666667,269.21666666666664,0.48500000000000004,18,26,12
2020-12-26 19:00:00+00:00,17.683333333333334,100.17166666666667,0.017,42.833333333333336,1.9966666666666668,98.61666666666667,309.25,0.6633333333333333,19,26,12
2020-12-26 20:00:00+00:00,18.983333333333334,100.18,0.017,260.5,2.1783333333333332,99.16666666666667,290.84999999999997,1.4633333333333332,20,26,12
2020-12-26 21:00:00+00:00,20.633333333333333,100.17,0.0,466.0,2.2100000000000004,91.2,348.23333333333335,2.1983333333333333,21,26,12
2020-12-26 22:00:00+00:00,22.866666666666664,100.14833333333333,0.0,673.6666666666666,2.16,77.48333333333333,339.18333333333334,2.535,22,26,12
2020-12-26 23:00:00+00:00,24.683333333333334,100.14333333333333,0.0,847.5,2.1216666666666666,68.0,326.9166666666667,2.39,23,26,12
2020-12-27 00:00:00+00:00,26.666666666666668,100.07,0.0,971.8333333333334,2.158333333333333,62.03333333333333,319.51666666666665,2.4233333333333333,0,27,12
2020-12-27 01:00:00+00:00,28.46666666666667,99.97833333333334,0.0,1035.3333333333333,2.15,55.75,313.96666666666664,2.33,1,27,12
2020-12-27 02:00:00+00:00,29.7,99.88666666666666,0.0,1011.5,2.105,50.63333333333333,318.73333333333335,2.111666666666667,2,27,12
2020-12-27 03:00:00+00:00,29.616666666666664,99.82,0.0,917.0,2.1466666666666665,52.63333333333333,237.96666666666667,1.7850000000000001,3,27,12
2020-12-27 04:00:00+00:00,26.7,99.76166666666667,0.0,767.5,2.308333333333333,66.10000000000001,113.13333333333333,2.9066666666666667,4,27,12
2020-12-27 05:00:00+00:00,26.316666666666666,99.68833333333333,0.0,633.1666666666666,2.283333333333333,66.60000000000001,114.16666666666667,3.0683333333333334,5,27,12
2020-12-27 06:00:00+00:00,26.46666666666667,99.64,0.0,444.0,2.2116666666666664,63.949999999999996,115.36666666666667,2.748333333333333,6,27,12
2020-12-27 07:00:00+00:00,27.233333333333334,99.62833333333333,0.0,188.0,2.138333333333333,59.199999999999996,109.2,1.8733333333333333,7,27,12
2020-12-27 08:00:00+00:00,26.900000000000002,99.65666666666668,0.0,39.666666666666664,2.151666666666667,60.68333333333334,71.01666666666667,1.04,8,27,12
2020-12-27 09:00:00+00:00,26.416666666666668,99.675,0.0,0.6666666666666666,2.14,62.11666666666667,69.76666666666667,1.235,9,27,12
2020-12-27 10:00:00+00:00,26.016666666666666,99.69166666666666,0.0,0.0,2.1750000000000003,64.64999999999999,50.0,1.885,10,27,12
2020-12-27 11:00:00+00:00,25.616666666666664,99.685,0.0,0.0,2.165,65.91666666666667,47.65,2.035,11,27,12
2020-12-27 12:00:00+00:00,25.266666666666666,99.64333333333333,0.0,0.0,2.145,66.66666666666667,43.11666666666667,2.3850000000000002,12,27,12
2020-12-27 13:00:00+00:00,24.516666666666666,99.54666666666667,0.0,0.0,2.1133333333333333,68.64999999999999,48.833333333333336,1.9983333333333333,13,27,12
2020-12-27 14:00:00+00:00,24.55,99.46333333333332,0.0,0.0,2.0383333333333336,66.01666666666667,23.28333333333333,1.9966666666666668,14,27,12
2020-12-27 15:00:00+00:00,24.133333333333336,99.42166666666667,0.0,0.0,2.023333333333333,67.25,36.050000000000004,1.8133333333333332,15,27,12
2020-12-27 16:00:00+00:00,25.05,99.37,0.0,0.0,1.97,62.166666666666664,12.983333333333334,1.968333333333333,16,27,12
2020-12-27 17:00:00+00:00,24.650000000000002,99.36,0.0,0.0,1.9716666666666667,63.48333333333333,69.10000000000001,2.0100000000000002,17,27,12
2020-12-27 18:00:00+00:00,23.933333333333334,99.38,0.0,0.16666666666666666,1.9933333333333334,67.23333333333333,16.816666666666666,1.9583333333333333,18,27,12
2020-12-27 19:00:00+00:00,24.150000000000002,99.45166666666667,0.0,25.666666666666668,1.9966666666666668,66.4,121.65000000000002,2.5883333333333334,19,27,12
2020-12-27 20:00:00+00:00,25.066666666666666,99.55666666666667,0.0,80.83333333333333,1.945,61.26666666666667,329.2,3.0283333333333338,20,27,12
2020-12-27 21:00:00+00:00,26.349999999999998,99.62666666666667,0.0,211.33333333333334,1.8433333333333335,53.76666666666667,321.5,3.595,21,27,12
2020-12-27 22:00:00+00:00,26.883333333333336,99.60666666666667,0.0,249.66666666666666,1.7633333333333334,49.85,321.8333333333333,6.405,22,27,12
2020-12-27 23:00:00+00:00,26.233333333333334,99.56333333333333,0.0,322.3333333333333,1.7866666666666668,52.449999999999996,323.93333333333334,5.658333333333334,23,27,12
2020-12-28 00:00:00+00:00,26.78333333333333,99.56833333333333,0.0,642.1666666666666,1.9033333333333333,54.1,321.0,5.373333333333334,0,28,12
2020-12-28 01:00:00+00:00,27.333333333333332,99.52833333333332,0.0,580.5,1.9249999999999998,52.9,318.46666666666664,5.168333333333333,1,28,12
2020-12-28 02:00:00+00:00,27.099999999999998,99.62,0.0,561.5,2.045,57.6,278.31666666666666,2.885,2,28,12
2020-12-28 03:00:00+00:00,23.3,99.67500000000001,0.0,503.0,2.41,84.01666666666667,173.91666666666666,2.9266666666666663,3,28,12
